Chromophore,Solvent,Emission max (nm)
COc1ccc(-c2nc3ccccc3nc2/C=C/N2CCCC2)s1,Cc1ccccc1,503.883
CN(C)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,CO,484.16
CN(C)c1ccc(/C=C/C=C/c2ccc(C#N)cc2)cc1,C1CCOC1,548.797
Cc1ccccc1-c1cc(-c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)cc2)nc(-c2ccccc2)n1,CC#N,495.522
O=C1c2cc(-n3c4ccccc4c4ccccc43)ccc2S(=O)(=O)c2ccc(-n3c4ccccc4c4ccccc43)cc21,O=C1c2cc(-n3c4ccccc4c4ccccc43)ccc2S(=O)(=O)c2ccc(-n3c4ccccc4c4ccccc43)cc21,544.935
CCC1(CC)c2cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc2-c2ccc(N(C)c3ccc(OC)cc3)cc21,CC(C)=O,602.55
C(=C/N1CCCC1)\c1nc2ccccc2nc1-c1ccccc1,CS(C)=O,542.876
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,C1COCCO1,450.733
O=C1c2ccccc2S(=O)(=O)c2ccc(-n3c4ccccc4c4ccccc43)cc21,O=C1c2ccccc2S(=O)(=O)c2ccc(-n3c4ccccc4c4ccccc43)cc21,542.59
Cc1ccccc1-c1cc(-c2ccccc2)nc(-c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)cc2)n1,CC#N,495.522
Cn1cc(-c2nc3ccccc3nc2/C=C/N2CCCC2)c2ccccc21,C1CCCCC1,480.251
c1ccc(-c2nnc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)n2-c2ccccc2)cc1,Cc1ccccc1,464.98
CC1(C)CC(/C=C/c2ccc(-n3cccn3)cc2)=CC(=C(C#N)C#N)C1,CC1(C)CC(/C=C/c2ccc(-n3cccn3)cc2)=CC(=C(C#N)C#N)C1,522.892
CCCCCCCCc1ccc(-c2c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C7\SC(N8CCCCC8)=NC7=O)cc6CCCCCCCC)s5)s4)sc3c(-c3ccc(CCCCCCCC)s3)c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C7\SC(N8CCCCC8)=NC7=O)cc6CCCCCCCC)s5)s4)sc23)s1,ClCCl,625.24
c1ccc(-n2c(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)nnc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc2)cc1,Cc1ccccc1,518.043
COc1ccc(-c2nc3ccccc3nc2/C=C/N2CCCC2)s1,C1CCOC1,549.692
N#Cc1nc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)n1,N#Cc1nc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)n1,482.948
CC1(C)CC(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)=CC(=C(C#N)C#N)C1,CC1(C)CC(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)=CC(=C(C#N)C#N)C1,580.819
Cc1cc(N(C)C)cc(C)c1/C=C/C=C/c1ccc(C#N)cc1,CCO,563.298
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CCO,449.152
CCC1(CC)c2cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc2-c2ccc(N(C)c3ccc(OC)cc3)cc21,CS(C)=O,588.754
Cn1ccc(-c2nc3ccccc3nc2/C=C/N2CCCC2)c1,C1CCCCC1,472.727
COc1ccc(-c2nc3ccccc3nc2/C=C/N2CCCC2)s1,CS(C)=O,564.1
CCOc1ccc(N(CC)c2ccc3c(c2)C(CC)(CC)c2cc(/C=C/c4ccc(/C=C(\C#N)C(=O)O)s4)ccc2-3)cc1,ClCCl,594.216
C(=C/N1CCCC1)\c1nc2ccccc2nc1-c1ccccc1,C1CCCCC1,468.46
CCCCCCCCc1ccc(-c2c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C7\SC(N8CCCCC8)=NC7=O)cc6CCCCCCCC)s5)s4)sc3c(-c3ccc(CCCCCCCC)s3)c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C7\SC(N8CCCCC8)=NC7=O)cc6CCCCCCCC)s5)s4)sc23)s1,Clc1ccccc1,615.636
CN(C)c1ccc(/C=C/C=C/c2ccc(C#N)cc2)cc1,CCO,574.285
O=c1c2cc(-n3c4ccccc4c4ccccc43)ccc2sc2ccc(-n3c4ccccc4c4ccccc43)cc12,O=c1c2cc(-n3c4ccccc4c4ccccc43)ccc2sc2ccc(-n3c4ccccc4c4ccccc43)cc12,481.01
CCN(CC)c1ccc2c(c1)oc(=O)c1cc3c(-c4ccccc4)nn(-c4ccccc4)c3nc12,CCOC(C)=O,487.098
C(=C/N1CCCC1)\c1nc2ccccc2nc1-c1ccccc1,CC#N,541.268
CCN(CC)c1ccc2c(c1)oc(=O)c1cc3c(-c4ccccc4)nn(C)c3nc12,CCOC(C)=O,492.608
CCC1(CC)c2cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc2-c2ccc(N(C)c3ccc(OC)cc3)cc21,ClCCl,610.919
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CCC(=O)CC,453.375
COc1ccc(-c2nc3ccccc3nc2/C=C/N2CCCC2)s1,CC(C)=O,559.835
CCCCCCCCc1ccc(-c2c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C7\SC(N8CCCCC8)=NC7=O)cc6CCCCCCCC)s5)s4)sc3c(-c3ccc(CCCCCCCC)s3)c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C7\SC(N8CCCCC8)=NC7=O)cc6CCCCCCCC)s5)s4)sc23)s1,Cc1ccccc1,617.674
N#Cc1cc(-n2c3ccccc3c3ccccc32)nc(-n2c3ccccc3c3ccccc32)n1,N#Cc1cc(-n2c3ccccc3c3ccccc32)nc(-n2c3ccccc3c3ccccc32)n1,479.028
CCCCCCCCc1ccc(-c2c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C7\SC(N8CCCCC8)=NC7=O)cc6CCCCCCCC)s5)s4)sc3c(-c3ccc(CCCCCCCC)s3)c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C7\SC(N8CCCCC8)=NC7=O)cc6CCCCCCCC)s5)s4)sc23)s1,C1CCOC1,627.707
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CCCC#N,452.537
CCN(CC)c1ccc2c(c1)oc(=O)c1cnc3c(cnn3-c3ccccc3)c12,CO,483.129
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CC(C)O,450.07
CCN(CC)c1ccc2c(c1)oc(=O)c1cc3c(C)nn(-c4ccccc4)c3nc12,CCOC(C)=O,484.394
CCN(CC)c1ccc2c(c1)oc(=O)c1cc3cnn(-c4ccccc4)c3nc12,CCOC(C)=O,480.654
O=C(c1ccc(-n2c3ccc(-c4ccccc4)cc3c3cc(-c4ccccc4)ccc32)cc1)c1ccc(-n2c3ccc(-c4ccccc4)cc3c3cc(-c4ccccc4)ccc32)cc1,O=C(c1ccc(-n2c3ccc(-c4ccccc4)cc3c3cc(-c4ccccc4)ccc32)cc1)c1ccc(-n2c3ccc(-c4ccccc4)cc3c3cc(-c4ccccc4)ccc32)cc1,462.697
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CN(C)C=O,454.218
CCOc1ccc(N(CC)c2ccc3c(c2)C(CC)(CC)c2cc(/C=C/c4ccc(/C=C(\C#N)C(=O)O)s4)ccc2-3)cc1,CC#N,567.235
CCOc1ccc(N(CC)c2ccc3c(c2)C(CC)(CC)c2cc(/C=C/c4ccc(/C=C(\C#N)C(=O)O)s4)ccc2-3)cc1,CC(C)=O,586.581
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,NC=O,446.541
CCN(CC)c1ccc2c(c1)oc(=O)c1cnc3c(c(C)nn3-c3ccccc3)c12,CO,484.131
C(=C/N1CCCC1)\c1nc2ccccc2nc1-c1ccccc1,CC(C)=O,533.51
CCN(CC)c1ccc2c(c1)oc(=O)c1c(C)nc3c(cnn3-c3ccccc3)c12,CO,478.399
O=C1c2ccccc2S(=O)(=O)c2ccc(-n3c4ccccc4c4ccccc43)cc21,c1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)cc(-n2c3ccccc3c3ccccc32)c1,538.514
CCN(CC)c1ccc2c(c1)oc(=O)c1cnc3c(cnn3-c3ccccc3)c12,CN(C)C=O,478.909
c1ccc(-c2nnc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)o2)cc1,Cc1ccccc1,482.812
CCCCN1C(=O)c2cc(Oc3ccc(C(C)(C)C)cc3)c3c4c(Oc5ccc(C(C)(C)C)cc5)cc5c(=O)[nH]/c(=C\c6ccc7ccccc7n6)c6cc(Oc7ccc(C(C)(C)C)cc7)c(c7c(Oc8ccc(C(C)(C)C)cc8)cc(c2c37)C1=O)c4c56,Cc1ccccc1,526.121
CCOc1ccc(N(CC)c2ccc3c(c2)C(CC)(CC)c2cc(/C=C/c4ccc(/C=C(\C#N)C(=O)O)s4)ccc2-3)cc1,CS(C)=O,569.07
Cn1ccc(-c2nc3ccccc3nc2/C=C/N2CCCC2)c1,CS(C)=O,526.78
CCC1(CC)c2cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc2-c2ccc(N(C)c3ccc(OC)cc3)cc21,C1CCOC1,603.73
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CC(C)=O,448.913
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CCCCO,451.069
CCCCN1C(=O)c2cc(Oc3ccc(C(C)(C)C)cc3)c3c4c(Oc5ccc(C(C)(C)C)cc5)cc5c(=O)[nH]/c(=C\c6ccccn6)c6cc(Oc7ccc(C(C)(C)C)cc7)c(c7c(Oc8ccc(C(C)(C)C)cc8)cc(c2c37)C1=O)c4c56,C1CCOC1,602.109
CCN(CC)c1ccc2c(c1)oc(=O)c1cc3c(-c4ccccc4)nn(C)c3nc12,C1CCCCC1,473.749
CCOc1ccc(N(CC)c2ccc3c(c2)C(CC)(CC)c2cc(/C=C/c4ccc(/C=C(\C#N)C(=O)O)s4)ccc2-3)cc1,CCOC(C)=O,590.305
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CCCCCCCCO,452.816
O=C1c2cc(-n3c4ccccc4c4ccccc43)ccc2S(=O)(=O)c2ccc(-n3c4ccccc4c4ccccc43)cc21,c1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)cc(-n2c3ccccc3c3ccccc32)c1,540.322
Cn1cc(-c2nc3ccccc3nc2/C=C/N2CCCC2)c2ccccc21,Cc1ccccc1,480.703
CCCCN1C(=O)c2cc(Oc3ccc(C(C)(C)C)cc3)c3c4c(Oc5ccc(C(C)(C)C)cc5)cc5c(=O)n6c(c7cc(Oc8ccc(C(C)(C)C)cc8)c(c8c(Oc9ccc(C(C)(C)C)cc9)cc(c2c38)C1=O)c4c57)=Cc1ccc2ccccc2[n+]1[B-]6(F)F,Cc1ccccc1,646.424
Cc1ccccc1-c1cc(-c2ccccc2)nc(-c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)cc2)n1,Cc1ccccc1,462.086
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,ClCCl,450.298
CCN(CC)c1ccc2c(c1)oc(=O)c1c(C)nc3c(c(-c4ccccc4)nn3-c3ccccc3)c12,CO,481.873
CCCCN1C(=O)c2cc(Oc3ccc(C(C)(C)C)cc3)c3c4c(Oc5ccc(C(C)(C)C)cc5)cc5c(=O)[nH]/c(=C\c6ccccn6)c6cc(Oc7ccc(C(C)(C)C)cc7)c(c7c(Oc8ccc(C(C)(C)C)cc8)cc(c2c37)C1=O)c4c56,Cc1ccccc1,514.488
O=c1c2cc(-n3c4ccccc4c4ccccc43)ccc2sc2ccc(-n3c4ccccc4c4ccccc43)cc12,O=P(c1ccccc1)(c1ccccc1)c1ccccc1Oc1ccccc1P(=O)(c1ccccc1)c1ccccc1,471.919
Cn1ccc(-c2nc3ccccc3nc2/C=C/N2CCCC2)c1,CC(C)=O,509.566
COc1ncccc1B(O)O,C1COCCO1,448.632
CCCCN1C(=O)c2cc(Oc3ccc(C(C)(C)C)cc3)c3c4c(Oc5ccc(C(C)(C)C)cc5)cc5c(=O)n6c(c7cc(Oc8ccc(C(C)(C)C)cc8)c(c8c(Oc9ccc(C(C)(C)C)cc9)cc(c2c38)C1=O)c4c57)=Cc1ccc2ccccc2[n+]1[B-]6(F)F,C1CCOC1,637.867
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CCCCCCO,452.94
CCN(CC)c1ccc2c(c1)oc(=O)c1c(C)nc3c(c(C)nn3-c3ccccc3)c12,CO,478.204
c1ccc2c(c1)Oc1ccccc1N2c1ccc(-c2nnc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)o2)cc1,Cc1ccccc1,524.491
Cn1cc(-c2nc3ccccc3nc2/C=C/N2CCCC2)c2ccccc21,C1CCOC1,492.927
C(=C/N1CCCC1)\c1nc2ccccc2nc1-c1ccccc1,C1CCOC1,522.486
CCCCN1C(=O)c2cc(Oc3ccc(C(C)(C)C)cc3)c3c4c(Oc5ccc(C(C)(C)C)cc5)cc5c(=O)n6c(c7cc(Oc8ccc(C(C)(C)C)cc8)c(c8c(Oc9ccc(C(C)(C)C)cc9)cc(c2c38)C1=O)c4c57)=Cc1cccc[n+]1[B-]6(F)F,Cc1ccccc1,643.889
Cn1ccc(-c2nc3ccccc3nc2/C=C/N2CCCC2)c1,Cc1ccccc1,481.209
CCOc1ccc(N(CC)c2ccc3c(c2)C(CC)(CC)c2cc(/C=C/c4ccc(/C=C(\C#N)C(=O)O)s4)ccc2-3)cc1,C1CCOC1,596.467
CCN(CC)c1ccc2c(c1)oc(=O)c1c(C)nc3c(c(-c4ccccc4)nn3C)c12,CN(C)C=O,486.637
CCN(CC)c1ccc2c(c1)oc(=O)c1cc3c(C)nn(-c4ccccc4)c3nc12,C1CCCCC1,469.866
CC1=[N+]2C(=C(c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)c3ccc(C)n3[B-]2(F)F)C=C1,CC1=[N+]2C(=C(c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)c3ccc(C)n3[B-]2(F)F)C=C1,551.902
Cn1ccc(-c2nc3ccccc3nc2/C=C/N2CCCC2)c1,C1CCOC1,505.45
Cn1cc(-c2nc3ccccc3nc2/C=C/N2CCCC2)c2ccccc21,CS(C)=O,511.176
CC(C)c1cc(C(C)C)c(B2c3ccccc3Oc3cc(-n4c5ccccc5c5ccc6c(c7ccccc7n6-c6ccccc6)c54)ccc32)c(C(C)C)c1,CC(C)c1cc(C(C)C)c(-c2ccc(-n3c4ccccc4n4c5ccccc5nc34)nc2)c(C(C)C)c1,470.768
O=c1c2ccccc2sc2ccc(-n3c4ccccc4c4ccccc43)cc12,O=P(c1ccccc1)(c1ccccc1)c1ccccc1Oc1ccccc1P(=O)(c1ccccc1)c1ccccc1,471.845
CCC1(CC)c2cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc2-c2ccc(N(C)c3ccc(OC)cc3)cc21,CN(C)C=O,592.158
CCN(CC)c1ccc2c(c1)oc(=O)c1c(C)nc3c(c(C)nn3-c3ccccc3)c12,CN(C)C=O,481.346
CCCCN1C(=O)c2cc(Oc3ccc(C(C)(C)C)cc3)c3c4c(Oc5ccc(C(C)(C)C)cc5)cc5c(=O)n6c(c7cc(Oc8ccc(C(C)(C)C)cc8)c(c8c(Oc9ccc(C(C)(C)C)cc9)cc(c2c38)C1=O)c4c57)=Cc1cccc[n+]1[B-]6(F)F,C1CCOC1,635.914
Cn1cc(-c2nc3ccccc3nc2/C=C/N2CCCC2)c2ccccc21,ClCCl,501.193
C(=C/N1CCCC1)\c1nc2ccccc2nc1-c1ccccc1,ClCCl,533.75
CCN(CC)c1ccc2c(c1)oc(=O)c1cnc3c(c(C)nn3-c3ccccc3)c12,CCOC(C)=O,471.775
CCOc1ccc(N(CC)c2ccc3c(c2)C(CC)(CC)c2cc(/C=C/c4ccc(/C=C(\C#N)C(=O)O)s4)ccc2-3)cc1,CN(C)C=O,576.175
Cn1ccc(-c2nc3ccccc3nc2/C=C/N2CCCC2)c1,ClCCl,518.462
CCC1(CC)c2cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc2-c2ccc(N(C)c3ccc(OC)cc3)cc21,CCOC(C)=O,599.719
CCOc1ccc(N(CC)c2ccc3c(c2)C(CC)(CC)c2cc(/C=C/c4ccc(/C=C(\C#N)C(=O)O)s4)ccc2-3)cc1,C1COCCO1,604.164
CCN(CC)c1ccc2c(c1)oc(=O)c1c(C)nc3c(c(-c4ccccc4)nn3C)c12,CCOC(C)=O,480.328
CC(C)c1cc(C(C)C)c(B2c3ccccc3Oc3cc(-n4c5ccccc5c5ccc6c(c7ccccc7n6-c6ccccc6)c54)ccc32)c(C(C)C)c1,O=P(c1ccccc1)(c1ccccc1)c1ccccc1Oc1ccccc1P(=O)(c1ccccc1)c1ccccc1,466.398
CC1(C)c2ccccc2N(c2ccc(-c3nc(-c4ccccc4)cc(-c4ccccc4)n3)cc2)c2ccccc21,ClCCl,484.561
CCN(CC)c1ccc2c(c1)oc(=O)c1c(C)nc3c(c(-c4ccccc4)nn3-c3ccccc3)c12,CCOC(C)=O,474.086
CCN(CC)c1ccc2c(c1)oc(=O)c1c(C)nc3c(c(-c4ccccc4)nn3-c3ccccc3)c12,C1CCCCC1,467.802
O=C1c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2S(=O)(=O)c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,535.115
CCN(CC)c1ccc2c(c1)oc(=O)c1c(C)nc3c(cnn3-c3ccccc3)c12,CCOC(C)=O,470.153
CCN(CC)c1ccc2c(c1)oc(=O)c1cnc3c(c(C)nn3-c3ccccc3)c12,C1CCCCC1,454.868
CCN(CC)c1ccc2c(c1)oc(=O)c1c(C)nc3c(c(-c4ccccc4)nn3C)c12,C1CCCCC1,466.65
CCN(CC)c1ccc2c(c1)oc(=O)c1cc3cnn(-c4ccccc4)c3nc12,C1CCCCC1,465.523
O=c1c2ccccc2n2c3ccccc3c(=O)c3cccc1c32,c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,469.195
CCN(CC)c1ccc2c(c1)oc(=O)c1c(C)nc3c(c(C)nn3-c3ccccc3)c12,CCOC(C)=O,472.744
Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,OC1CCCCC1,452.768
CC(C)c1cc(C(C)C)c(B2c3ccccc3Oc3cc(-n4c5ccccc5c5c6c(c7ccccc7n6-c6ccccc6)c6c(c7ccccc7n6-c6ccccc6)c54)ccc32)c(C(C)C)c1,CC(C)c1cc(C(C)C)c(-c2ccc(-n3c4ccccc4n4c5ccccc5nc34)nc2)c(C(C)C)c1,470.398
Cc1ccccc1-c1cc(-c2ccccc2)nc(-c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)cc2)n1,ClCCl,485.461
CCCCN1C(=O)c2cc(Oc3ccc(C(C)(C)C)cc3)c3c4c(Oc5ccc(C(C)(C)C)cc5)cc5c6c(cc(Oc7ccc(C(C)(C)C)cc7)c(c7c(Oc8ccc(C(C)(C)C)cc8)cc(c2c37)C1=O)c64)C(=O)N(CCCC)C5=O,Cc1ccccc1,607.038
CCN(CC)c1ccc2c(c1)oc(=O)c1c(C)nc3c(c(C)nn3-c3ccccc3)c12,C1CCCCC1,466.049
Cc1ccc2c(c1)B(c1c(C(C)C)cc(C(C)C)cc1C(C)C)c1cc(C)cc3c1N2c1ccc(C)cc1B3c1c(C(C)C)cc(C(C)C)cc1C(C)C,Cc1ccccc1-c1cccc(Oc2cc3c4c(c2)Oc2cc(-c5ccccc5C)ccc2B4c2ccc(-c4ccccc4C)cc2O3)c1,487.46
CCN(CC)c1ccc2c(c1)oc(=O)c1cnc3c(cnn3-c3ccccc3)c12,CCOC(C)=O,472.876
Cc1cc(C)c(B2c3cc(C)ccc3N3c4ccc(C)cc4B(c4c(C)cc(C)cc4C)c4cc(C)cc2c43)c(C)c1,Cc1ccccc1-c1cccc(Oc2cc3c4c(c2)Oc2cc(-c5ccccc5C)ccc2B4c2ccc(-c4ccccc4C)cc2O3)c1,483.793
CC1(C)c2ccccc2N(c2ccc3c(c2)c(=O)c2cccc4c(=O)c5cc(N6c7ccccc7C(C)(C)c7ccccc76)ccc5n3c24)c2ccccc21,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,545.627
CCN(CC)c1ccc2c(c1)oc(=O)c1cnc3c(cnn3-c3ccccc3)c12,C1CCCCC1,459.957
CCN(CC)c1ccc2c(c1)oc(=O)c1c(C)nc3c(cnn3-c3ccccc3)c12,C1CCCCC1,456.543
CC(C)c1cc(C(C)C)c(B2c3ccccc3Oc3cc(-n4c5ccccc5c5c6c(c7ccccc7n6-c6ccccc6)c6c(c7ccccc7n6-c6ccccc6)c54)ccc32)c(C(C)C)c1,O=P(c1ccccc1)(c1ccccc1)c1ccccc1Oc1ccccc1P(=O)(c1ccccc1)c1ccccc1,467.13
CCC1(CC)c2cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc2-c2ccc(N(C)c3ccc(OC)cc3)cc21,C1COCCO1,608.328
CN(C)c1ccc(C=C2Cc3ccccc3C2=O)cc1,C1CCCCC1,471.687
O=Cc1cc(O)ccc1O,CO,480.607
COc1ccc(OC)c(C=O)c1,C1COCCO1,445.706
COc1ccc(OC)c(C=O)c1,C1CCOC1,446.113
COc1ccc(OC)c(C=O)c1,CC#N,452.334
COc1ccc(OC)c(C=O)c1,CN(C)C=O,437.938
COc1ccc(OC)c(C=O)c1,CN(C)P(=O)(N(C)C)N(C)C,441.158
O=Cc1cc(O)ccc1O,C1COCCO1,460.91
O=Cc1cc(O)ccc1O,C1CCOC1,459.395
O=Cc1cc(O)ccc1O,CC#N,465.367
CC1(C)CC(/C=C/c2ccc(N3CCOCCOCCOCCOCC3)cc2)=CC(=C(C#N)C#N)C1,CC1(C)CC(/C=C/c2ccc(N3CCOCCOCCOCCOCC3)cc2)=CC(=C(C#N)C#N)C1,621.423
Nc1ccncc1,CCOCC,351.018
Nc1ccncc1,O,356.692
COc1cccc(-[c+]2c3ccccc3oc3ccccc32)c1,CC#N,492.7
CN(C)c1ccc(C=CC(=O)c2ccccc2)cc1,C1CCCCC1,454.067
C=C[C@]12CC[C@H](CC1)N=N2,CC#N,518.239
Brc1c(Br)c2ccc3c(Br)c(Br)c4ccc5ccc1c1c5c4c3c21,C1CCCCC1,446.431
c1ccc([C@]23CC[C@H](CC2)N=N3)cc1,CC#N,494.071
Cc1cnc(NC(=O)C2=C([O-])c3ccccc3S(=O)(=O)N2C)s1,CC#N,465.323
CN1C(C(=O)Nc2ccccn2)=C([O-])c2ccccc2S1(=O)=O,CC#N,465.564
CN1C(C(=O)Nc2ccccn2)=C([O-])c2sccc2S1(=O)=O,CO,465.691
COC(=O)[C@]12N=N[C@](C(=O)OC)([C@@H]3CC31C)[C@@]1(C)C[C@H]12,CC#N,518.793
Cc1cnc(NC(=O)C2=C([O-])c3ccccc3S(=O)(=O)N2C)s1,CO,459.395
CCCCCCC(CCCCCC)N1C(=O)c2cccc3c(-c4ccc(N(C)C)cc4)ccc(c23)C1=O,CN(C)C=O,597.676
Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,CC#N,453.804
Cc1cnc(NC(=O)C2=C([O-])c3ccccc3S(=O)(=O)N2C)s1,CCO,464.186
CN1C(C(=O)Nc2ccccn2)=C([O-])c2ccccc2S1(=O)=O,CCO,466.983
CN1C(C(=O)Nc2ccccn2)=C([O-])c2sccc2S1(=O)=O,CCO,470.923
CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,CO,463.585
COC(=O)[C@@]12N=N[C@@H](C3C[C@H]31)[C@@H]1C[C@@H]12,CC#N,492.431
COc1cccc2c1C(=O)c1ccccc1-2,CC#N,531.417
CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,CCO,465.632
CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,CC#N,464.577
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,CO,456.16
O=c1c2ccccc2sc2ccccc12,CCCCOC(C)=O,438.666
CN1C(C(=O)Nc2ccccn2)=C([O-])c2ccccc2S1(=O)=O,CCCO,461.831
CN1C(C(=O)Nc2ccccn2)=C([O-])c2sccc2S1(=O)=O,CCCO,466.787
O=C1c2ccccc2-c2cnccc21,Cc1ccccc1,513.01
Cc1cnc(NC(=O)C2=C([O-])c3ccccc3S(=O)(=O)N2C)s1,CCCO,458.373
O=C1c2ccccc2-c2cnccc21,CCOC(C)=O,518.422
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,CO,461.208
COc1cc(OC)cc(C2=[O+][B-](F)(F)OC(c3cccs3)=C2)c1,CC(C)=O,556.699
c1ccc2nc3c(nc2c1)[nH]c1ccccc13,CCO,436.199
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,CCO,456.738
CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,CCCO,463.448
CN1C(C(=O)Nc2ccccn2)=C([O-])c2ccccc2S1(=O)=O,CCCCO,456.879
CN1C(C(=O)Nc2ccccn2)=C([O-])c2sccc2S1(=O)=O,CCCCO,461.34
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,CCOC(C)=O,448.974
Cc1cnc(NC(=O)C2=C([O-])c3ccccc3S(=O)(=O)N2C)s1,CCCCO,454.181
O=C1c2ccccc2-c2cccc(O)c21,C1CCCCC1,497.152
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,CC#N,461.536
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,C1COCCO1,443.47
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,CC#N,459.424
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,CCCO,452.084
CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,CCCCO,458.718
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,CCO,461.25
CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,C1COCCO1,453.383
O=C1c2ccccc2-c2cccc(O)c21,CCO,535.009
Nc1cccnc1,C1CCCCC1,350.593
c1ccc(-[c+]2c3ccccc3sc3ccccc32)cc1,CC#N,455.665
COc1cccc2c1C(=O)c1ccccc1-2,CCO,543.914
O=C1c2cc(F)ccc2-c2cnccc21,CCOC(C)=O,537.666
c1ccc2nc3c(nc2c1)[nH]c1ccccc13,CCCCCCC,408.187
CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3sc(-c4ccc(N(c5ccc(OCCCCCC)cc5)c5ccc(OCCCCCC)cc5)cc4)c4nc(CC)c(CC)nc34)cc2)cc1,CN(C)C=O,705.61
